name,rating,wouldTakeAgain,levelOfDifficulty,topTags,similarProfs,reviews,numReviews
Ronald Kline,4.7,N/A,2.9,Respected; Get ready to read; Tough grader; Participation matters,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]","Prof. Kline is very engaged with his material. Although the material itself is not always very exciting, he presents clear arguments about everything he is teaching, and thus makes the content more interesting and applicable.; Prof Kline keeps the potentially boring subject of technological history interesting by focusing upon the use/human-driven perspective of history rather than the much overused technologically driven view of history.  A short writing assignment is due every friday and the majority of your grade consists of 3 papers.; Great; I love prof. Kline- he's a cute old man, esp when his hair is messy. He makes the history very interesting- showing all perspectives, including politics with no bias at all. Very, very interesting readings, and papers were actually sort of enjoyable to write. Grades fairly for sure- do a good job, get your facts straight and you'll get a good grade; Made the subject matter very interesting, surprisingly enough. Is obviously expert in his field and is eager to help anyone who shows interest. Very professional and a real gentleman. This is a great history course for anyone, engineer or not.; Excellent prof, cares very much about his students.  Go to office hours, take advantage of all Prof. Kline has to offer.  You will take a lot away from his class - well worth your efforts.; A genuinely good guy.; Interesting lectures.  Consisted of 3 essays and a final paper.; _Very_ well organized, you know exactly what he's going to be talking about throughout the course of the lecture.  Made an effort to make issues in the History of Technology not boring.",9
Jose Martinez,3.3,75%,4,Hilarious; Tough grader; Gives good feedback; Respected; BEWARE OF POP QUIZZES; Amazing lectures; Skip class? You won't pass.; Tough Grader; Get ready to read; Beware of pop quizzes,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]","I liked the class, some better organization would be helpful, but he's a good lecturer and the material was interesting!; Awesome class.; He gives decent lectures but really lazy and sometimes even secretive. For example he would refuse to give out even homework solutions. Also he even flat out refused to answer students' questions about grading because according to him ""it's not productive to wonder about your grades""; Funny guy and decent lecturer, but super lazy. He literally canceled several lectures for no reason. And he absolutely refused to give out practice prelims and homework solutions for studying. Also he (probably deliberately) left important parts of his lecture slides blank. You have to pay attention in lecture and work a lot on your own.; Great professor! I had him for ECE2400 and I learned a lot from him. Very secure and he definitely knows his stuff. If you want to learn, this is the professor you want to take; on the other hand if you want an easy A, I recommend going somewhere else because Professor Martinez is going to make you work for it.; The class was quite challenging but really interesting. Exams were really difficult but if you understand the lectures properly you should be okay. The professor is very passionate about the material and thats really inspiring. Overall, very helpful class. Learned a lot.; Funny and engaging lectures. Few caveats: lecture notes are sparse and assignments cover a fraction of material. First assignments were quite straight forward, last were quite time consuming. Exams were very difficult due to lack of material provided for prep. Overall, very rewarding class - learn all of CS 2110 and more. Take this class ECEs.; Martinez is a great teacher, he knows his stuff! Class wasn't too much work at all, there are roughly weekly quizzes, two prelims and no final. The only problem was that he had really sparse lecture notes, so you had to pay close attention in class and take good notes to do well. Overall, I would recommend taking a class with him.; Acts menacing, and is menacing. Explains concepts clearly in lecture (you MUST go to lecture), but labs can be near impossible. Tests are very tricky, and practice is not relevant: you need a good intuition to do well on the exams. Learned a lot from the class, okay professor; Exams are not fair, labs are tedious and boring, avoid this prof for 2300.; The course is not supposed to be difficult but this guy manages to make it very painful. The labs are extremely tedious, if not impossible. Also, he does not put emphasis on what we should know in order to prepare for labs and exams. I was completely fooled as this guy put prelim1 date after the drop period. He is very harsh too.; This guy is completely under-appreciated. Although I had him for my engineering 1050, and he showed up maybe twice and made his TA organize everything.  For 2300 (the class that mattered), he was the exact opposite, he was very clear with his lectures and tried to make sure everyone understood the material. So far 2300 has been my favorite class.; Bad prof; Not the most friendly person. Very strict when it comes to deadlines. Not given enough time to have even a slight chance of finishing prelim. intimidating to speak to, as if he looks down on his students.; always seems angry. Hard prelims. Intimidating guy.; from a TA pov, it was way better than the year before; No Comments; No Comments; No Comments",19
Anthony Reeves,3,0%,3.3,,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]","Reeves does his best to inspire interest for people in the class but he wasn't very helpful for the final project.  As the other reviewer pointed out, he rejects most ideas for the final project and is biased towards projects in his area of biomedical imaging.; Learned a lot of the basics of computer vision in the class, and working on the project was fun.  Professor wasn't very helpful over the course of the project, as his bias towards medical apps of computer vision and certain techniques are clear.  Gives students a hard time, but seems to give good grades to those who deserve them.; Reeve's is an absolute Professional when it comes to working with students and helps them to succeed when they are failing.; The reason there is such a disparity among these ratings is that there were two lectures taught by this prof. and Victor Aprea. I switched up which lecture i went to sometimes, and they were both good.; It's hard for me to rate him, because he got some grad student to teach lecture instead of him, even though he was still listed as professor. Needless to say, that did not make for a very good semester. The course is very difficult.; Abysmally-bad ECE professor who is completely unaware of the course curriculim, doesn't care about students understanding the material, uses someone else's power-point slides without even checking to see what's on them and if they're relevant.; He is an excellent lecurer. Made the class intersting by showing how the material applies to real world applications.; He definitely knows his stuff. Having a large class meant little interaction with students, and although he would tend to lose his place from time to time, he's one of the better overall lecturers I've had at Cornell.; Reeves had absolutely no interaction with his 314 class, as far as I could see. Everything is left to the undergrad and grad TAs. Unfortunately, many of the TAs are pretty overworked and unable to communicate. Recipe for student frustration.",9
Charles Seyler,4.8,100%,3,,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]","Good professor but lame class. Definitely a nice guy--helps you when needed.; Really good at showing you how to solve problems step by step.  He uses more difficult examples and it really helps on the homework.  The problem sets he assigns are a bit tedious but in the end you do end up learning a lot.  This class is part of the reason I decided to switch majors!; I love professor Seyler. He is the best.; Great professor.  Knows his stuff and how to explain it (two features that aren't always present in the profs I've had).  Always willing to help students also.  His cool, calm composure helps, and he sorta comforted the class when we didn't do too well on a prelim and Professor Kelley was scolding us.; I agree Seyler is one of the best profs here; This guy is great. He made 210 an easy class. He can explain things well and he writes great notes on the board.",6
Cindy Kao,N/A,N/A,N/A,,[],,0
Gookwon Edward Suh,3,43%,3.4,Tough grader; Lots of homework; Respected; BEWARE OF POP QUIZZES; Clear grading criteria; Amazing lectures; Skip class? You won't pass.; Beware of pop quizzes; Participation matters; Caring; Accessible outside class,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]","After completing my ECE degree, I think 2300 with Suh was the worst ECE class I took.; The topic material is pretty boring but Suh tries his best. Hes pretty nice and is always willing to help out. Lectures are clear, just gotta find a way to stay awake. Screw all those people sitting in the back that start talking near the end of lecture even while hes still lecturing.; Suh gives effective and clear lectures, and he is consistently well-prepared and knowledgable on the subject. Suh deeply cares for his students and has changed aspects of his course multiple times to better serve his students. He seems to genuinely want his students are successful. Suh's assignments and exams have been extremely fair.; Not too much work until the end of the semester. Exams are purely based on memorizing lecture content, which is quite unclear sometimes due to his accent. If you miss small details, your exam score will suffer. Very, very boring lectures.; Work for 2300 with him never ends, you have an assignment due 4-5 days out of a week. His lecture pace ranges from painfully slow to hopelessly faced passed. His lecture slides do not clear up information very well and are filled with abbreviations for terms that aren't explained.; Unclear and boring lectures. You will likely spend hours debugging labs. Lecture attendance isn't technically mandatory, but he gives pop quizzes every other week or so. There will be a point in the semester when you have an assignment due every weekday, none of which are easy or timely. Tests are very difficult.; Very unclear and disorganized lectures. Labs very time consuming and do not relate to exam material. Exam material is also difficult.; Suh was a really great professor. He was a little mean when it came to prelim conflicts, workload and stuff but overall he was really good. And the grad TA's were awesome. Finals were harder than usual though.; Really easy to fall asleep during lecture- speaks in monotone, not very clear.  Projects take *forever*. The program Quartus is *infuriating*. The only reason our labs were awesome was our amazing TA. You spend so much time on the projects, you forget to study everything else. Bad, because tests are only on the everything else. So. much. time.; very monotone lectures. its easy to fall asleep in 2300 with him. he also made the labs harder than need be by restricting use of verilog to the last few labs.; I don't know what the hell the first reviewer is talking about. Suh is a very clear lecturer. He knows how to pace the material and make it interesting. His exams were fair (2 hour long prelims for 1.5 hours of material), and he engaged the entire class in his lectures. Overall, an excellent instructor.; He is a very nice guy! He has been helping a lot!; Probably one of the most terrible professors I've ever had -- totally unable to explain material coherently; to get our participation grade, we have to answer questions in class that are either a.) ridiculously obvious or b.) you'd have to read his mind to know what he is looking for",13
Ao Tang,3,0%,4,EXTRA CREDIT; Tough grader; Graded by few things; Tough Grader; GRADED BY FEW THINGS,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]",,0
Peter Jessel,4,N/A,2,,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]","Class lecture is like an old man talking about himself back in 1980s. Class attendance does not affect grades at all. Easy 3-credit class in ECE department.; Great class, not for the techies though, it's a management class!. Very helpful Prof. Very fun: he'll crack jokes at whatever.  Very knowledgable about industry too.",2
C. Lindsay Anderson,4.7,100%,2.6,Gives good feedback; Amazing lectures; Skip class? You won't pass.; Clear grading criteria; Caring,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]","While her lectures are usually very clear, some of her in-class examples are not totally helpful. Also, there are sometimes mistakes in assignments which lead people to a number of drastically different codes for the same problem.  Otherwise, a good professor.; Best teacher in the department.; Professor Anderson will always help you if you ask for it, especially by email (usually the same day). I definitely recommend her as a professor!; Such a wonderful professor, tries to learn everyone's name in the class. Will set up a private meeting to help you work on your code. Definitely take if you can!; One of the most accommodating professors that I have ever had. She is very helpful, and her lectures are super clear.; She is very friendly, fair, and clear. Nothing bad to say about her.; She's very friendly, and tries to know all student's names. She somewhat picks favorites though, but overall, she is a very nice approachable professor. She is very clear and helpful as well. Somewhat challenging, but overall reasonable.; Lindsay is a rock star. So helpful and so approachable.She is an excellent teacher. Her exams/homeworks are challenging, but fair.; Best Prof ever! She's amazingly nice and a total MILF. She learns everyones name, and is really friendly when approached.; Ms. Anderson was a decent prof.  She really made sure we understood the basics of MatLab.  She was a little spacy and followed directly off her power point slides, but going to lecture helped a lot.  Don't bother buying the book.  If you need reference help, you can get it online, and you can't sell the book back.; Professor Anderson is EXTREMELY helpful. She has a positive attitude and ensures that all of her students learn the course material.; She is a very helpful professor. If you need any help, she will give it. The course is very directed and there a lot of people who will help you. She tries her best and is at every lab section.",12
Silvia Ferrari,5,100%,4,Group projects; Hilarious; EXTRA CREDIT; GROUP PROJECTS,[],,0
Adrian Sampson,4.5,100%,3.5,Respected; ACCESSIBLE OUTSIDE CLASS; Caring; Accessible outside class,"[['5.00', 'Amy Williams', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2435205'], ['5.00', 'Anil Damle', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2473568'], ['4.70', 'Jon Kleinberg', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=136263']]","He is a fantastic professor. He gives great lectures and is always available for help (he answers Piazza posts in seconds and will always give one on one help). The material in the course is difficult, but he grades fairly and gives a good curve. One of my favorite professors at Cornell I've had.",1
Mark Campbell,N/A,N/A,N/A,,[],,0
Harold Craighead,4.6,N/A,1.6,Respected; Would take again; Inspirational; Caring,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]","Prof. Craighead is a genius.  He knows a lot, check out his wikipedia page.  He is able to clearly explain things.  His class is thoroughly enjoyable.  When he had to miss lecture for a research conference, he would schedule an expert in the field to lecture on their expertise.  Exams are fair, study your notes from lecture and you'll be fine.; Prof. Craighead is honestly one of the nicest guys I've ever met. Studying for his exams can be a little annoying because it's a little hard to figure out what you'll be tested on, but the exams themselves are more than fair. On the whole, it's a class I wholeheartedly recommend mostly due to Craighead showing he really cares about his students.; He knows so much about nanoscience it's ridiculous.  His lectures can be a bit rambly and it is hard to tell what you will be tested on.  Sometimes he appears to feel not confident about his teaching skills, but you wil learn a lot in this class.  If you are unclear on a topic, he will definitely help you out.  Assignments are not difficult either.; He's awesome. Get to know him.",4
